epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
81,67665.8,1.19663,1.95453,0.90199,0.00358,0.91968,0.77756,0.72283,0.79537,0.5656,0.7699,0.70256,0.76035,0.46269,1.2005,1.90893,0.92914,0.00622,0,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
82,68499,1.19235,1.94968,0.89194,0.00354,0.91199,0.77873,0.72363,0.79634,0.56622,0.76685,0.70483,0.76097,0.46306,1.19998,1.9081,0.92823,0.00621,0,0.0073909,0.00246363,0.0073909,0.00246363,0.0073909,0.00246363,0.0073909,0.00246363
83,69328.5,1.19086,1.94389,0.88797,0.00357,0.90168,0.7791,0.72354,0.79559,0.56635,0.76744,0.70367,0.76089,0.46291,1.19972,1.90774,0.92762,0.00621,0,0.00706211,0.00235404,0.00706211,0.00235404,0.00706211,0.00235404,0.00706211,0.00235404
84,70154.4,1.18933,1.93614,0.8921,0.00353,0.90177,0.77433,0.72727,0.79604,0.56662,0.77167,0.70191,0.76147,0.46299,1.19966,1.9071,0.92653,0.0062,0,0.00673887,0.00224629,0.00673887,0.00224629,0.00673887,0.00224629,0.00673887,0.00224629
85,70982.5,1.18374,1.92271,0.88134,0.00351,0.8971,0.77591,0.72776,0.79607,0.56693,0.77159,0.70298,0.76185,0.46335,1.19959,1.90695,0.92515,0.0062,0,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
86,71810,1.18482,1.94094,0.88371,0.00353,0.88454,0.77516,0.72845,0.79621,0.56681,0.76836,0.70607,0.7623,0.46347,1.19954,1.90598,0.92483,0.0062,0,0.00610989,0.00203663,0.00610989,0.00203663,0.00610989,0.00203663,0.00610989,0.00203663
87,72642.7,1.18558,1.93168,0.88547,0.00351,0.88605,0.77601,0.72899,0.79681,0.56743,0.76978,0.70626,0.76258,0.46381,1.19924,1.90505,0.92375,0.00619,0,0.00580459,0.00193486,0.00580459,0.00193486,0.00580459,0.00193486,0.00580459,0.00193486
88,73468.9,1.18483,1.92863,0.88263,0.00352,0.87554,0.77962,0.72791,0.79718,0.56775,0.7707,0.70554,0.76292,0.46407,1.19899,1.9047,0.92348,0.00619,0,0.0055057,0.00183523,0.0055057,0.00183523,0.0055057,0.00183523,0.0055057,0.00183523
89,74303.1,1.18333,1.93213,0.88011,0.0035,0.88061,0.78352,0.72523,0.79723,0.56812,0.77114,0.70596,0.76352,0.46414,1.19838,1.90437,0.92338,0.00619,0,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378
90,75139,1.18053,1.92865,0.87606,0.00351,0.87983,0.78366,0.72481,0.79765,0.56834,0.77243,0.70523,0.76357,0.46437,1.19799,1.90443,0.92274,0.00619,0,0.00492793,0.00164264,0.00492793,0.00164264,0.00492793,0.00164264,0.00492793,0.00164264
91,75965.7,1.17553,1.92066,0.87539,0.00351,0.88598,0.78282,0.72651,0.79782,0.56857,0.77369,0.70505,0.76397,0.46449,1.19795,1.90454,0.92202,0.00619,0,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
